model,variant,benchmark,bench_key,facet,value
Qwen3-8B,Base,OpenRT,openrt,treeattack,72.5
Qwen3-8B,Base,OpenRT,openrt,xteaming,48.75
Qwen3-8B,DPO,OpenRT,openrt,actorattack,75.42
Qwen3-8B,DPO,OpenRT,openrt,artprompt,81.67
Qwen3-8B,DPO,OpenRT,openrt,autodan,63.75
Qwen3-8B,DPO,OpenRT,openrt,autodan_r,57.94
Qwen3-8B,DPO,OpenRT,openrt,cipherchat,89.58
Qwen3-8B,DPO,OpenRT,openrt,coa,97.08
Qwen3-8B,DPO,OpenRT,openrt,codeattack,57.08
Qwen3-8B,DPO,OpenRT,openrt,crescendo,55.83
Qwen3-8B,DPO,OpenRT,openrt,deepinception,81.25
Qwen3-8B,DPO,OpenRT,openrt,drattack,42.67
Qwen3-8B,DPO,OpenRT,openrt,flipattack,99.17
Qwen3-8B,DPO,OpenRT,openrt,gcg,86.67
Qwen3-8B,DPO,OpenRT,openrt,gptfuzzer,60.83
Qwen3-8B,DPO,OpenRT,openrt,ica,97.5
Qwen3-8B,DPO,OpenRT,openrt,jailbroken,85.0
Qwen3-8B,DPO,OpenRT,openrt,laa,25.83
Qwen3-8B,DPO,OpenRT,openrt,mousetrap,91.67
Qwen3-8B,DPO,OpenRT,openrt,multilingual,98.75
Qwen3-8B,DPO,OpenRT,openrt,pair,64.17
Qwen3-8B,DPO,OpenRT,openrt,pasttense,68.75
Qwen3-8B,DPO,OpenRT,openrt,prefill,86.67
Qwen3-8B,DPO,OpenRT,openrt,race,90.0
Qwen3-8B,DPO,OpenRT,openrt,redqueen,96.67
Qwen3-8B,DPO,OpenRT,openrt,renellm,14.17
Qwen3-8B,DPO,OpenRT,openrt,seqar,41.25
Qwen3-8B,DPO,OpenRT,openrt,treeattack,59.17
Qwen3-8B,DPO,OpenRT,openrt,xteaming,40.83
Qwen3-8B,ReSo,OpenRT,openrt,actorattack,88.75
Qwen3-8B,ReSo,OpenRT,openrt,artprompt,87.92
Qwen3-8B,ReSo,OpenRT,openrt,autodan,84.17
Qwen3-8B,ReSo,OpenRT,openrt,autodan_r,81.48
Qwen3-8B,ReSo,OpenRT,openrt,cipherchat,91.67
Qwen3-8B,ReSo,OpenRT,openrt,coa,97.92
Qwen3-8B,ReSo,OpenRT,openrt,codeattack,63.75
Qwen3-8B,ReSo,OpenRT,openrt,crescendo,65.0
Qwen3-8B,ReSo,OpenRT,openrt,deepinception,95.83
Qwen3-8B,ReSo,OpenRT,openrt,drattack,68.87
Qwen3-8B,ReSo,OpenRT,openrt,flipattack,97.08
Qwen3-8B,ReSo,OpenRT,openrt,gcg,96.67
Qwen3-8B,ReSo,OpenRT,openrt,gptfuzzer,77.5
Qwen3-8B,ReSo,OpenRT,openrt,ica,100.0
Qwen3-8B,ReSo,OpenRT,openrt,jailbroken,96.25
Qwen3-8B,ReSo,OpenRT,openrt,laa,31.25
Qwen3-8B,ReSo,OpenRT,openrt,mousetrap,88.33
Qwen3-8B,ReSo,OpenRT,openrt,multilingual,100.0
Qwen3-8B,ReSo,OpenRT,openrt,pair,77.5
Qwen3-8B,ReSo,OpenRT,openrt,pasttense,93.33
Qwen3-8B,ReSo,OpenRT,openrt,prefill,96.25
Qwen3-8B,ReSo,OpenRT,openrt,race,90.83
Qwen3-8B,ReSo,OpenRT,openrt,redqueen,97.5
Qwen3-8B,ReSo,OpenRT,openrt,renellm,9.58
Qwen3-8B,ReSo,OpenRT,openrt,seqar,62.92
Qwen3-8B,ReSo,OpenRT,openrt,treeattack,80.42
Qwen3-8B,ReSo,OpenRT,openrt,xteaming,49.17
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,actorattack,80.0
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,artprompt,85.42
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,autodan,76.67
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,autodan_r,73.72
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,cipherchat,90.0
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,coa,98.75
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,codeattack,61.25
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,crescendo,61.67
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,deepinception,96.25
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,drattack,54.97
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,flipattack,97.08
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,gcg,93.33
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,gptfuzzer,72.92
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,ica,99.58
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,jailbroken,91.67
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,laa,22.5
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,mousetrap,90.0
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,multilingual,99.58
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,pair,76.25
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,pasttense,83.75
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,prefill,95.83
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,race,92.92
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,redqueen,93.33
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,renellm,16.67
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,seqar,50.42
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,treeattack,71.67
Qwen3-8B,ReSo-shuffle,OpenRT,openrt,xteaming,53.33
Qwen3-8B,Base,XSTest,xstest,safe compliance,95.6
Qwen3-8B,Base,XSTest,xstest,unsafe refusal,79.0
Qwen3-8B,DPO,XSTest,xstest,safe compliance,95.2
Qwen3-8B,DPO,XSTest,xstest,unsafe refusal,78.0
Qwen3-8B,ReSo,XSTest,xstest,safe compliance,78.4
Qwen3-8B,ReSo,XSTest,xstest,unsafe refusal,87.0
Qwen3-8B,ReSo-shuffle,XSTest,xstest,safe compliance,96.0
Qwen3-8B,ReSo-shuffle,XSTest,xstest,unsafe refusal,78.5
Qwen3-8B,Base,ETHICS,ethics,dil,28.86
Qwen3-8B,Base,ETHICS,ethics,mfq,89.33
Qwen3-8B,Base,ETHICS,ethics,wvs,86.57
Qwen3-8B,DPO,ETHICS,ethics,dil,28.21
Qwen3-8B,DPO,ETHICS,ethics,mfq,92.53
Qwen3-8B,DPO,ETHICS,ethics,wvs,86.57
Qwen3-8B,ReSo,ETHICS,ethics,dil,28.69
Qwen3-8B,ReSo,ETHICS,ethics,mfq,82.93
Qwen3-8B,ReSo,ETHICS,ethics,wvs,86.76
Qwen3-8B,ReSo-shuffle,ETHICS,ethics,dil,28.54
Qwen3-8B,ReSo-shuffle,ETHICS,ethics,mfq,89.73
Qwen3-8B,ReSo-shuffle,ETHICS,ethics,wvs,82.95
Qwen3-8B,Base,FLAMES,flames,Data protection,45.78
Qwen3-8B,Base,FLAMES,flames,Fairness,74.83
Qwen3-8B,Base,FLAMES,flames,Legality,62.32
Qwen3-8B,Base,FLAMES,flames,Morality,78.28
Qwen3-8B,Base,FLAMES,flames,Safety,57.81
Qwen3-8B,DPO,FLAMES,flames,Data protection,44.89
Qwen3-8B,DPO,FLAMES,flames,Fairness,73.9
Qwen3-8B,DPO,FLAMES,flames,Legality,53.62
Qwen3-8B,DPO,FLAMES,flames,Morality,75.29
Qwen3-8B,DPO,FLAMES,flames,Safety,58.04
Qwen3-8B,ReSo,FLAMES,flames,Data protection,53.78
Qwen3-8B,ReSo,FLAMES,flames,Fairness,77.38
Qwen3-8B,ReSo,FLAMES,flames,Legality,65.22
Qwen3-8B,ReSo,FLAMES,flames,Morality,78.77
Qwen3-8B,ReSo,FLAMES,flames,Safety,61.07
Qwen3-8B,ReSo-shuffle,FLAMES,flames,Data protection,47.56
Qwen3-8B,ReSo-shuffle,FLAMES,flames,Fairness,75.5
Qwen3-8B,ReSo-shuffle,FLAMES,flames,Legality,63.77
Qwen3-8B,ReSo-shuffle,FLAMES,flames,Morality,77.45
Qwen3-8B,ReSo-shuffle,FLAMES,flames,Safety,58.9
Qwen3-8B,Base,MoReBench,morebench,ai_advisor,63.7
Qwen3-8B,Base,MoReBench,morebench,ai_agent,62.6
Qwen3-8B,Base,MoReBench,morebench,ai_risk,62.9
Qwen3-8B,Base,MoReBench,morebench,clear process,65.2
Qwen3-8B,Base,MoReBench,morebench,daily_dilemmas,63.0
Qwen3-8B,Base,MoReBench,morebench,expert_written,64.4
Qwen3-8B,Base,MoReBench,morebench,harmless outcome,85.9
Qwen3-8B,Base,MoReBench,morebench,helpful outcome,45.7
Qwen3-8B,Base,MoReBench,morebench,identifying,63.4
Qwen3-8B,Base,MoReBench,morebench,logical process,56.8
Qwen3-8B,DPO,MoReBench,morebench,ai_advisor,64.3
Qwen3-8B,DPO,MoReBench,morebench,ai_agent,62.7
Qwen3-8B,DPO,MoReBench,morebench,ai_risk,63.1
Qwen3-8B,DPO,MoReBench,morebench,clear process,66.3
Qwen3-8B,DPO,MoReBench,morebench,daily_dilemmas,63.4
Qwen3-8B,DPO,MoReBench,morebench,expert_written,65.3
Qwen3-8B,DPO,MoReBench,morebench,harmless outcome,86.2
Qwen3-8B,DPO,MoReBench,morebench,helpful outcome,45.2
Qwen3-8B,DPO,MoReBench,morebench,identifying,63.4
Qwen3-8B,DPO,MoReBench,morebench,logical process,57.6
Qwen3-8B,ReSo,MoReBench,morebench,ai_advisor,64.3
Qwen3-8B,ReSo,MoReBench,morebench,ai_agent,64.7
Qwen3-8B,ReSo,MoReBench,morebench,ai_risk,65.0
Qwen3-8B,ReSo,MoReBench,morebench,clear process,66.9
Qwen3-8B,ReSo,MoReBench,morebench,daily_dilemmas,63.4
Qwen3-8B,ReSo,MoReBench,morebench,expert_written,65.7
Qwen3-8B,ReSo,MoReBench,morebench,harmless outcome,87.3
Qwen3-8B,ReSo,MoReBench,morebench,helpful outcome,47.9
Qwen3-8B,ReSo,MoReBench,morebench,identifying,63.6
Qwen3-8B,ReSo,MoReBench,morebench,logical process,58.2
Qwen3-8B,ReSo-shuffle,MoReBench,morebench,ai_advisor,64.3
Qwen3-8B,ReSo-shuffle,MoReBench,morebench,ai_agent,62.7
Qwen3-8B,ReSo-shuffle,MoReBench,morebench,ai_risk,63.0
Qwen3-8B,ReSo-shuffle,MoReBench,morebench,clear process,66.5
Qwen3-8B,ReSo-shuffle,MoReBench,morebench,daily_dilemmas,63.7
Qwen3-8B,ReSo-shuffle,MoReBench,morebench,expert_written,64.7
Qwen3-8B,ReSo-shuffle,MoReBench,morebench,harmless outcome,86.5
Qwen3-8B,ReSo-shuffle,MoReBench,morebench,helpful outcome,45.7
Qwen3-8B,ReSo-shuffle,MoReBench,morebench,identifying,63.0
Qwen3-8B,ReSo-shuffle,MoReBench,morebench,logical process,57.8
Qwen3-8B,Base,HaluEval,halueval,dialogue,73.31
Qwen3-8B,Base,HaluEval,halueval,qa,63.64
Qwen3-8B,Base,HaluEval,halueval,summarization,69.04
Qwen3-8B,DPO,HaluEval,halueval,dialogue,74.1
Qwen3-8B,DPO,HaluEval,halueval,qa,63.84
Qwen3-8B,DPO,HaluEval,halueval,summarization,68.5
Qwen3-8B,ReSo,HaluEval,halueval,dialogue,73.25
Qwen3-8B,ReSo,HaluEval,halueval,qa,64.0
Qwen3-8B,ReSo,HaluEval,halueval,summarization,69.05
Qwen3-8B,ReSo-shuffle,HaluEval,halueval,dialogue,73.1
Qwen3-8B,ReSo-shuffle,HaluEval,halueval,qa,63.47
Qwen3-8B,ReSo-shuffle,HaluEval,halueval,summarization,68.6
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,biology,78.8
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,business,69.71
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,chemistry,67.05
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,computer science,66.34
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,economics,72.63
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,engineering,52.01
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,health,62.71
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,history,49.34
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,law,31.61
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,math,79.94
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,other,55.63
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,philosophy,52.91
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,physics,66.2
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,psychology,69.17
Qwen3-8B,Base,MMLU-Pro,mmlu-pro,total,63.02
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,biology,78.94
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,business,69.71
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,chemistry,66.7
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,computer science,64.63
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,economics,73.1
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,engineering,52.12
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,health,63.57
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,history,49.87
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,law,30.52
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,math,78.16
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,other,56.17
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,philosophy,52.91
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,physics,63.82
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,psychology,68.8
Qwen3-8B,DPO,MMLU-Pro,mmlu-pro,total,62.51
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,biology,77.68
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,business,67.43
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,chemistry,65.64
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,computer science,65.12
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,economics,72.63
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,engineering,50.05
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,health,61.49
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,history,49.61
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,law,31.43
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,math,77.79
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,other,56.17
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,philosophy,52.71
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,physics,65.97
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,psychology,67.92
Qwen3-8B,ReSo,MMLU-Pro,mmlu-pro,total,62.06
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,biology,77.96
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,business,68.57
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,chemistry,66.43
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,computer science,66.1
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,economics,72.04
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,engineering,51.7
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,health,62.47
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,history,51.18
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,law,31.97
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,math,76.68
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,other,55.41
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,philosophy,53.91
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,physics,65.05
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,psychology,68.67
Qwen3-8B,ReSo-shuffle,MMLU-Pro,mmlu-pro,total,62.33
Qwen3-14B,Base,HarmBench,harmbench,contextual,45.92
Qwen3-14B,Base,HarmBench,harmbench,standard,93.0
Qwen3-14B,DPO,HarmBench,harmbench,contextual,26.53
Qwen3-14B,DPO,HarmBench,harmbench,standard,85.5
Qwen3-14B,ReSo,HarmBench,harmbench,contextual,64.0
Qwen3-14B,ReSo,HarmBench,harmbench,standard,98.0
Qwen3-14B,ReSo-shuffle,HarmBench,harmbench,contextual,54.08
Qwen3-14B,ReSo-shuffle,HarmBench,harmbench,standard,95.5
Qwen3-14B,Base,DeceptionBench,deceptionbench,economy,65.83
Qwen3-14B,Base,DeceptionBench,deceptionbench,education,70.28
Qwen3-14B,Base,DeceptionBench,deceptionbench,entertainment,39.44
Qwen3-14B,Base,DeceptionBench,deceptionbench,healthcare,56.39
Qwen3-14B,Base,DeceptionBench,deceptionbench,social,49.16
Qwen3-14B,DPO,DeceptionBench,deceptionbench,economy,48.88
Qwen3-14B,DPO,DeceptionBench,deceptionbench,education,57.78
Qwen3-14B,DPO,DeceptionBench,deceptionbench,entertainment,23.33
Qwen3-14B,DPO,DeceptionBench,deceptionbench,healthcare,50.55
Qwen3-14B,DPO,DeceptionBench,deceptionbench,social,30.0
Qwen3-14B,ReSo,DeceptionBench,deceptionbench,economy,71.95
Qwen3-14B,ReSo,DeceptionBench,deceptionbench,education,73.61
Qwen3-14B,ReSo,DeceptionBench,deceptionbench,entertainment,60.56
Qwen3-14B,ReSo,DeceptionBench,deceptionbench,healthcare,78.89
Qwen3-14B,ReSo,DeceptionBench,deceptionbench,social,62.22
Qwen3-14B,ReSo-shuffle,DeceptionBench,deceptionbench,economy,70.28
Qwen3-14B,ReSo-shuffle,DeceptionBench,deceptionbench,education,78.89
Qwen3-14B,ReSo-shuffle,DeceptionBench,deceptionbench,entertainment,54.72
Qwen3-14B,ReSo-shuffle,DeceptionBench,deceptionbench,healthcare,70.84
Qwen3-14B,ReSo-shuffle,DeceptionBench,deceptionbench,social,65.0
Qwen3-14B,Base,OpenRT,openrt,actorattack,82.08
Qwen3-14B,Base,OpenRT,openrt,artprompt,87.92
Qwen3-14B,Base,OpenRT,openrt,autodan,77.08
Qwen3-14B,Base,OpenRT,openrt,autodan_r,64.0
Qwen3-14B,Base,OpenRT,openrt,cipherchat,92.5
Qwen3-14B,Base,OpenRT,openrt,coa,97.08
Qwen3-14B,Base,OpenRT,openrt,codeattack,68.33
Qwen3-14B,Base,OpenRT,openrt,crescendo,67.5
Qwen3-14B,Base,OpenRT,openrt,deepinception,90.83
Qwen3-14B,Base,OpenRT,openrt,drattack,45.39
Qwen3-14B,Base,OpenRT,openrt,flipattack,93.75
Qwen3-14B,Base,OpenRT,openrt,gcg,96.67
Qwen3-14B,Base,OpenRT,openrt,gptfuzzer,70.42
Qwen3-14B,Base,OpenRT,openrt,ica,98.33
Qwen3-14B,Base,OpenRT,openrt,jailbroken,90.83
Qwen3-14B,Base,OpenRT,openrt,laa,20.0
Qwen3-14B,Base,OpenRT,openrt,mousetrap,94.17
Qwen3-14B,Base,OpenRT,openrt,multilingual,98.75
Qwen3-14B,Base,OpenRT,openrt,pair,75.42
Qwen3-14B,Base,OpenRT,openrt,pasttense,85.83
Qwen3-14B,Base,OpenRT,openrt,prefill,95.42
Qwen3-14B,Base,OpenRT,openrt,race,90.42
Qwen3-14B,Base,OpenRT,openrt,redqueen,96.67
Qwen3-14B,Base,OpenRT,openrt,renellm,14.58
Qwen3-14B,Base,OpenRT,openrt,seqar,44.17
Qwen3-14B,Base,OpenRT,openrt,treeattack,73.33
Qwen3-14B,Base,OpenRT,openrt,xteaming,50.0
Qwen3-14B,DPO,OpenRT,openrt,actorattack,77.92
Qwen3-14B,DPO,OpenRT,openrt,artprompt,81.25
Qwen3-14B,DPO,OpenRT,openrt,autodan,70.0
Qwen3-14B,DPO,OpenRT,openrt,autodan_r,55.24
Qwen3-14B,DPO,OpenRT,openrt,cipherchat,86.25
Qwen3-14B,DPO,OpenRT,openrt,coa,96.25
Qwen3-14B,DPO,OpenRT,openrt,codeattack,62.5
Qwen3-14B,DPO,OpenRT,openrt,crescendo,57.08
Qwen3-14B,DPO,OpenRT,openrt,deepinception,88.33
Qwen3-14B,DPO,OpenRT,openrt,drattack,37.09
Qwen3-14B,DPO,OpenRT,openrt,flipattack,93.75
Qwen3-14B,DPO,OpenRT,openrt,gcg,88.75
Qwen3-14B,DPO,OpenRT,openrt,gptfuzzer,63.75
Qwen3-14B,DPO,OpenRT,openrt,ica,96.67
Qwen3-14B,DPO,OpenRT,openrt,jailbroken,83.33
Qwen3-14B,DPO,OpenRT,openrt,laa,18.33
Qwen3-14B,DPO,OpenRT,openrt,mousetrap,92.92
Qwen3-14B,DPO,OpenRT,openrt,multilingual,99.17
Qwen3-14B,DPO,OpenRT,openrt,pair,70.0
Qwen3-14B,DPO,OpenRT,openrt,pasttense,73.75
Qwen3-14B,DPO,OpenRT,openrt,prefill,92.5
Qwen3-14B,DPO,OpenRT,openrt,race,87.5
Qwen3-14B,DPO,OpenRT,openrt,redqueen,96.67
Qwen3-14B,DPO,OpenRT,openrt,renellm,16.25
Qwen3-14B,DPO,OpenRT,openrt,seqar,38.33
Qwen3-14B,DPO,OpenRT,openrt,treeattack,71.67
Qwen3-14B,DPO,OpenRT,openrt,xteaming,44.58
Qwen3-14B,ReSo,OpenRT,openrt,actorattack,83.75
Qwen3-14B,ReSo,OpenRT,openrt,artprompt,92.08
Qwen3-14B,ReSo,OpenRT,openrt,autodan,83.75
Qwen3-14B,ReSo,OpenRT,openrt,autodan_r,68.97
Qwen3-14B,ReSo,OpenRT,openrt,cipherchat,91.67
Qwen3-14B,ReSo,OpenRT,openrt,coa,95.0
Qwen3-14B,ReSo,OpenRT,openrt,codeattack,71.67
Qwen3-14B,ReSo,OpenRT,openrt,crescendo,75.0
Qwen3-14B,ReSo,OpenRT,openrt,deepinception,93.33
Qwen3-14B,ReSo,OpenRT,openrt,drattack,52.98
Qwen3-14B,ReSo,OpenRT,openrt,flipattack,90.42
Qwen3-14B,ReSo,OpenRT,openrt,gcg,97.5
Qwen3-14B,ReSo,OpenRT,openrt,gptfuzzer,79.58
Qwen3-14B,ReSo,OpenRT,openrt,ica,100.0
Qwen3-14B,ReSo,OpenRT,openrt,jailbroken,95.42
Qwen3-14B,ReSo,OpenRT,openrt,laa,43.33
Qwen3-14B,ReSo,OpenRT,openrt,mousetrap,93.33
Qwen3-14B,ReSo,OpenRT,openrt,multilingual,100.0
Qwen3-14B,ReSo,OpenRT,openrt,pair,78.33
Qwen3-14B,ReSo,OpenRT,openrt,pasttense,90.42
Qwen3-14B,ReSo,OpenRT,openrt,prefill,97.92
Qwen3-14B,ReSo,OpenRT,openrt,race,90.83
Qwen3-14B,ReSo,OpenRT,openrt,redqueen,97.92
Qwen3-14B,ReSo,OpenRT,openrt,renellm,16.25
Qwen3-14B,ReSo,OpenRT,openrt,seqar,51.25
Qwen3-14B,ReSo,OpenRT,openrt,treeattack,79.58
Qwen3-14B,ReSo,OpenRT,openrt,xteaming,52.92
Qwen3-14B,ReSo-shuffle,OpenRT,openrt,actorattack,85.0
Qwen3-14B,ReSo-shuffle,OpenRT,openrt,artprompt,87.08
Qwen3-14B,ReSo-shuffle,OpenRT,openrt,autodan,81.25
Qwen3-14B,ReSo-shuffle,OpenRT,openrt,autodan_r,69.54
Qwen3-14B,ReSo-shuffle,OpenRT,openrt,cipherchat,92.92
Qwen3-14B,ReSo-shuffle,OpenRT,openrt,coa,95.0
Qwen3-14B,ReSo-shuffle,OpenRT,openrt,codeattack,68.75
Qwen3-14B,ReSo-shuffle,OpenRT,openrt,crescendo,67.5
Qwen3-14B,ReSo-shuffle,OpenRT,openrt,deepinception,94.17
Qwen3-14B,ReSo-shuffle,OpenRT,openrt,drattack,50.33
Qwen3-14B,ReSo-shuffle,OpenRT,openrt,flipattack,92.92
